,TV,radio,newspaper,sales
184,287.6,43,71.8,26200
185,253.8,21.3,30,17600
186,205,45.1,19.6,22600
187,139.5,2.1,26.6,10300
188,191.1,28.7,18.2,17300
189,286,13.9,3.7,15900
190,18.7,12.1,23.4,6700
191,39.5,41.1,5.8,10800
192,75.5,10.8,6,9900
193,17.2,4.1,31.6,5900
194,166.8,42,3.6,19600
195,149.7,35.6,6,17300
196,38.2,3.7,13.8,7600
197,94.2,4.9,8.1,9700
198,177,9.3,6.4,12800
199,283.6,42,66.2,25500
200,232.1,8.6,8.7,13400
